date,helpful,name,rating,review,size
13-Jun-19,11 people found this helpful,GauravSinghal,1.0 out of 5 stars,Worthless,Size: 6GB+128GB
07-Jun-19,9 people found this helpful,Kiran kumar,5.0 out of 5 stars,OnePlus 7,Size: 6GB+128GB
08-Jun-19,14 people found this helpful,mahipal singh,1.0 out of 5 stars,Camera quality not good,Size: 6GB+128GB
07-Jun-19,7 people found this helpful,Bhavesh,5.0 out of 5 stars,Speed..Speed..Speed.......,Size: 8GB+256GB
09-Jun-19,10 people found this helpful,teekshan heera,5.0 out of 5 stars,NO VALUE WITH IT,Size: 8GB+256GB
17-Jun-19,10 people found this helpful,Gaurav Behl,1.0 out of 5 stars,Phone received is defective and has speaker issues.,Size: 6GB+128GB
02-Jul-19,7 people found this helpful,varun bhatia,1.0 out of 5 stars,A flagship killer which can't beat 3 years old flagship,Size: 6GB+128GB
07-Jun-19,7 people found this helpful,SAYANTAN BANERJEE,5.0 out of 5 stars,The best "value for money" smartphone...the true "flagship killer",Size: 8GB+256GB
07-Jun-19,7 people found this helpful,Rajesh Panda,5.0 out of 5 stars,Normal User Review,Size: 6GB+128GB
14-Jun-19,7 people found this helpful,Akash Sakharshete,5.0 out of 5 stars,Just Go for it...,Size: 6GB+128GB
14-Jul-19,8 people found this helpful,Indira Sarkar Roy,1.0 out of 5 stars,Mobile with one sided use,Size: 8GB+256GB
07-Jun-19,6 people found this helpful,Abhijay Kumar,5.0 out of 5 stars,The return of Flagship Killer,Size: 6GB+128GB
15-Jul-19,8 people found this helpful,piyush,1.0 out of 5 stars,Waste of money,Size: 6GB+128GB
26-Jun-19,9 people found this helpful,jinesh modi,1.0 out of 5 stars,PATHETIC SERVICE,Size: 6GB+128GB
07-Jun-19,11 people found this helpful,Mohd Bilal,5.0 out of 5 stars,Simply awesome,Size: 6GB+128GB
07-Jun-19,5 people found this helpful,Dr. Tarak Khan,5.0 out of 5 stars,Same car with a new engine,Size: 6GB+128GB
11-Jun-19,8 people found this helpful,Ashok Raj,2.0 out of 5 stars,"Everything is good, but...",Size: 6GB+128GB
21-Jun-19,7 people found this helpful,kunjan Asha,1.0 out of 5 stars,No connector for earphone.,Size: 6GB+128GB
14-Jun-19,5 people found this helpful,Sachin,5.0 out of 5 stars,Just superb!!!,Size: 6GB+128GB
29-Jun-19,7 people found this helpful,archana,1.0 out of 5 stars,Don't waste money,Size: 8GB+256GB
07-Jun-19,6 people found this helpful,RRM,5.0 out of 5 stars,Static sound while on call..,Size: 6GB+128GB
02-Jul-19,5 people found this helpful,Abhinav Saxena,2.0 out of 5 stars,Below Expectations! I liked my Oneplus 5 more!,Size: 6GB+128GB
11-Jun-19,5 people found this helpful,Lavanya N,5.0 out of 5 stars,Got my Beast from Oneplus.. My Oneplus 7,Size: 6GB+128GB
29-Jun-19,6 people found this helpful,Os,1.0 out of 5 stars,Very disappointed with Camera & lagging issue,Size: 6GB+128GB
08-Jun-19,10 people found this helpful,Kalpana priya,3.0 out of 5 stars,Oneplus,Size: 6GB+128GB
07-Jun-19,4 people found this helpful,Shreyas,5.0 out of 5 stars,Go For It!!!!,Size: 8GB+256GB
10-Jun-19,4 people found this helpful,MandeepBhusri,5.0 out of 5 stars,Just go for this one..,Size: 8GB+256GB
09-Jun-19,5 people found this helpful,Sujith P Chandran,5.0 out of 5 stars,Great phone,Size: 6GB+128GB
08-Jun-19,8 people found this helpful,satyan sharma,1.0 out of 5 stars,Feel bad no return available for this purchase,Size: 6GB+128GB
19-Jun-19,5 people found this helpful,Amazon Customer,3.0 out of 5 stars,Good phone but has its flaws,Size: 6GB+128GB
10-Jun-19,4 people found this helpful,Avinash S.,5.0 out of 5 stars,The phone is a beast and it lives upto your expectations on all grounds except camera,Size: 6GB+128GB
09-Jun-19,8 people found this helpful,Parag Makwana,4.0 out of 5 stars,Good.,Size: 6GB+128GB
08-Jun-19,6 people found this helpful,DA,3.0 out of 5 stars,Detailed review,Size: 6GB+128GB
07-Jun-19,9 people found this helpful,Akhilesh Khanka,5.0 out of 5 stars,Awesome,Size: 6GB+128GB
12-Sep-19,5 people found this helpful,Raju,1.0 out of 5 stars,Read the review before buying these. It is not worth to spend money on,Size: 6GB+128GB
07-Jul-19,5 people found this helpful,Avinash,1.0 out of 5 stars,Battery of the mobile sucks,Size: 8GB+256GB
